	BodyShapeI	Length	Environment	Habitat	DepthRangeShallow	DepthRangeDeep	ReproMode	Fertilization	RepGuild1
Onigocia grandisquama	Elongated	6.199999809	saltwater	demersal	NA	NA	NA	NA	NA
Onigocia lacrimalis	elongated	14.36999989	saltwater	benthopelagic	111	325	dioecism	external	nonguarders
Onigocia macrocephala	NA	NA	NA	NA	NA	NA	NA	NA	NA
Onigocia macrolepis	fusiform/normal	15	saltwater	demersal	NA	130	dioecism	external	nonguarders
Onigocia oligolepis	elongated	10	saltwater	reef-associated	5	30	dioecism	external	nonguarders
Onigocia pedimacula	elongated	11	saltwater	demersal	15	110	dioecism	external	nonguarders
Onigocia spinosa	elongated	25	saltwater	demersal	8	250	dioecism	external	nonguarders
Onuxodon fowleri	eel-like	10	saltwater	reef-associated	1	30	dioecism	external	nonguarders
Onuxodon parvibrachium	eel-like	10	saltwater	demersal	1	30	dioecism	external	nonguarders
Opeatogenys gracilis	elongated	3	saltwater	demersal	NA	NA	NA	NA	NA
Ophichthus altipennis	eel-like	120	saltwater	demersal	2	20	NA	NA	NA
Ophichthus apicalis	eel-like	100	saltwater/brack	demersal	0	22	NA	NA	NA
Ophichthus bonaparti	eel-like	75	saltwater	reef-associated	NA	20	NA	NA	NA
Ophichthus brachynotopterus	eel-like	46.09999847	saltwater	bathydemersal	355	580	NA	NA	NA
Ophichthus cephalozona	eel-like	115	saltwater	reef-associated	1	30	NA	NA	NA
Ophichthus erabo	eel-like	72	saltwater	reef-associated	NA	155	NA	NA	NA
Ophichthus exourus	eel-like	66.90000153	saltwater	bathydemersal	400	520	NA	NA	NA
Ophichthus frontalis	eel-like	86	saltwater	demersal	35	760	NA	NA	NA
Ophichthus genie	eel-like	33.70000076	saltwater	bathydemersal	430	500	NA	NA	NA
Ophichthus gomesii	eel-like	91.40000153	saltwater	demersal	1	450	dioecism	external	NA
Ophichthus lentiginosus	eel-like	62.79999924	saltwater	benthopelagic	NA	400	NA	NA	NA
Ophichthus longipenis	eel-like	58.70000076	saltwater	demersal	0	69	NA	NA	NA
Ophichthus marginatus	eel-like	47	saltwater	demersal	NA	NA	NA	NA	NA
Ophichthus melope	eel-like	27	saltwater	demersal	100	224	NA	NA	NA
Ophichthus microstictus	eel-like	48.90000153	saltwater	benthopelagic	362	450	NA	NA	NA
Ophichthus mystacinus	eel-like	42.90000153	saltwater	bathydemersal	371	824	NA	NA	NA
Ophichthus ophis	eel-like	210	saltwater	demersal	21	70	NA	NA	NA
Ophichthus polyophthalmus	eel-like	62.5	saltwater/brack/fresh	reef-associated	2	25	NA	NA	NA
Ophichthus rugifer	eel-like	68	saltwater	benthopelagic	NA	200	NA	NA	NA
Ophichthus rutidoderma	eel-like	95	saltwater/brack	demersal	NA	NA	NA	NA	NA
Ophichthus triserialis	eel-like	121.5	saltwater	demersal	1	155	NA	NA	NA
Ophichthus zophochir	eel-like	98	saltwater	demersal	1	110	NA	NA	NA
Ophidion barbatum	elongated	25.39999962	saltwater	demersal	51	1456	dioecism	external	nonguarders
Ophidion fulvum	elongated	18	brack	demersal	0	20	dioecism	external	nonguarders
Ophidion galeoides	elongated	21.5	saltwater	demersal	17	75	dioecism	external	nonguarders
Ophidion grayi	elongated	30	saltwater	demersal	10	60	dioecism	external	nonguarders
Ophidion holbrookii	elongated	30	saltwater	reef-associated	0	75	dioecism	external	nonguarders
Ophidion imitator	elongated	19.10000038	saltwater	demersal	18	112	dioecism	external	nonguarders
Ophidion josephi	eel-like	25	saltwater	demersal	1	55	dioecism	external	nonguarders
Ophidion muraenolepis	elongated	15.5	saltwater	demersal	80	370	dioecism	external	nonguarders
Ophidion rochei	elongated	29.25	saltwater	demersal	1	150	dioecism	external	nonguarders
Ophidion smithi	eel-like	14	saltwater	demersal	NA	NA	dioecism	external	nonguarders
Ophioblennius atlanticus	fusiform/normal	19	saltwater	reef-associated	50	NA	dioecism	external	guarders
Ophioblennius macclurei	fusiform/normal	12.19999981	saltwater	reef-associated	NA	NA	dioecism	external	guarders
Ophioblennius steindachneri	fusiform/normal	18	saltwater	reef-associated	0	18	dioecism	external	guarders
Ophioblennius trinitatis	elongated	5.630000114	saltwater	reef-associated	0	53	dioecism	external	guarders
Ophiocara porocephala	fusiform/normal	34	saltwater/brack/fresh	demersal	0	5	dioecism	external	guarders
Ophisternon bengalense	eel-like	100	brack/fresh	demersal	NA	NA	protogyny	external	guarders
Ophisternon candidum	eel-like	40	brack/fresh	demersal	0	3	dioecism	external	guarders
Ophisurus serpens	eel-like	250	saltwater/brack	demersal	NA	300	NA	NA	NA
Opisthonema bulleri	fusiform/normal	20	saltwater	pelagic-neritic	0	50	NA	NA	NA
Opisthonema libertate	elongated	30	saltwater	pelagic-neritic	NA	70	dioecism	external	nonguarders
Opisthonema medirastre	fusiform/normal	30	saltwater	pelagic-neritic	0	50	NA	NA	NA
Opisthonema oglinum	fusiform/normal	38	saltwater	reef-associated	1	50	dioecism	external	nonguarders
Opisthoproctus soleatus	shortand/ordeep	10.5	saltwater	bathypelagic	300	800	NA	NA	NA
Opisthopterus dovii	fusiform/normal	23	saltwater/brack	pelagic-neritic	0	50	NA	NA	NA
Opisthopterus equatorialis	fusiform/normal	14.60000038	saltwater/brack	pelagic-neritic	NA	NA	NA	NA	NA
Opisthopterus tardoore	fusiform/normal	23	saltwater/brack	pelagic-neritic	NA	NA	dioecism	external	nonguarders
Opisthopterus valenciennesi	fusiform/normal	20	saltwater/brack	pelagic-neritic	NA	NA	NA	NA	NA
Opistognathus adelus	elongated	4.889999866	saltwater	pelagic-neritic	5	65	NA	NA	NA
Opistognathus afer	elongated	4.130000114	saltwater	pelagic-neritic	22	32	NA	NA	NA
Opistognathus aurifrons	elongated	10	saltwater	reef-associated	3	40	dioecism	external	bearers
Opistognathus darwiniensis	elongated	50	saltwater	reef-associated	NA	NA	dioecism	external	bearers
Opistognathus fossoris	elongated	9.420000076	saltwater	demersal	12	32	NA	NA	NA
Opistognathus inornatus	Elongated	55	saltwater	demersal	NA	NA	NA	NA	NA
Opistognathus longinaris	elongated	4.099999905	saltwater	pelagic-neritic	65	NA	NA	NA	NA
Opistognathus macrognathus	elongated	20	saltwater	reef-associated	0	44	dioecism	external	bearers
Opistognathus margaretae	elongated	9.199999809	saltwater	demersal	18	19	NA	NA	NA
Opistognathus maxillosus	elongated	13	saltwater	reef-associated	1	8	dioecism	external	bearers
Opistognathus muscatensis	elongated	45	saltwater	reef-associated	15	50	NA	NA	NA
Opistognathus panamaensis	elongated	10	saltwater	demersal	NA	12	NA	NA	NA
Opistognathus punctatus	elongated	40.59999847	saltwater	demersal	NA	NA	NA	NA	NA
Opistognathus rhomaleus	elongated	51	saltwater	demersal	NA	NA	NA	NA	NA
Opistognathus robinsi	elongated	13.11999989	saltwater	demersal	NA	46	NA	NA	NA
Opistognathus rosenblatti	elongated	10	saltwater	reef-associated	NA	12	NA	NA	NA
Opistognathus scops	elongated	12	saltwater	demersal	NA	NA	NA	NA	NA
Opistognathus whitehursti	elongated	14	saltwater	reef-associated	1	12	dioecism	external	bearers
Oplegnathus conwayi	shortand/ordeep	90	saltwater	reef-associated	NA	150	NA	NA	NA
Oplegnathus peaolopesi	shortand/ordeep	75	saltwater	reef-associated	20	130	NA	NA	NA
Oplegnathus robinsoni	shortand/ordeep	60	saltwater	reef-associated	20	100	NA	NA	NA
Oplegnathus woodwardi	shortand/ordeep	45	saltwater	demersal	50	400	NA	NA	NA
Oplopomops diacanthus	fusiform/normal	7.5	saltwater	reef-associated	3	20	NA	NA	NA
Oplopomus caninoides	elongated	7.5	saltwater	reef-associated	1	66	NA	NA	NA
Oplopomus oplopomus	fusiform/normal	10	saltwater	reef-associated	1	30	NA	NA	NA
Opsanus beta	fusiform/normal	30	saltwater	demersal	NA	NA	dioecism	external	guarders
Opsanus pardus	elongated	38	saltwater	reef-associated	NA	NA	dioecism	external	guarders
Opsanus tau	fusiform/normal	43.20000076	saltwater/brack	reef-associated	0	5	dioecism	external	guarders
Optivus agastos	fusiform/normal	9.520000458	saltwater	reef-associated	1	146	NA	NA	NA
Optivus elongatus	fusiform/normal	11.30000019	saltwater	reef-associated	0	70	NA	NA	NA
Orectolobus hutchinsi	elongated	149	saltwater	demersal	0	106	NA	NA	NA
Orectolobus ornatus	elongated	290	saltwater	reef-associated	0	100	dioecism	internal(oviduct)	bearers
Orectolobus parvimaculatus	elongated	88.5	saltwater	demersal	9	135	NA	NA	NA
Orectolobus wardi	elongated	63	saltwater	reef-associated	1	3	dioecism	internal(oviduct)	bearers
Oreochromis aureus	fusiform/normal	45.70000076	brack/fresh	benthopelagic	5	NA	dioecism	external	bearers
Oreochromis mossambicus	fusiform/normal	39	brack/fresh	benthopelagic	1	12	dioecism	external	bearers
Oreochromis niloticus	fusiform/normal	60	brack/fresh	benthopelagic	0	20	dioecism	external	bearers
Oreochromis placidus	shortand/ordeep	35.5	brack/fresh	benthopelagic	NA	NA	NA	NA	NA
Oreosoma atlanticum	shortand/ordeep	21	saltwater	bathydemersal	220	1550	NA	NA	NA
Orthopristis chalceus	fusiform/normal	45	saltwater	demersal	10	60	dioecism	external	nonguarders
Orthopristis chrysoptera	shortand/ordeep	46	saltwater/brack	demersal	10	NA	dioecism	external	nonguarders
Orthopristis rubra	fusiform/normal	41.5	saltwater/brack	demersal	1	70	dioecism	external	nonguarders
Oryzias dancena	elongated	3.119999886	brack/fresh	benthopelagic	NA	NA	NA	NA	NA
Oryzias javanicus	elongated	4.5	brack/fresh	benthopelagic	NA	NA	dioecism	NA	bearers
Osmerus eperlanus	elongated	45	saltwater/brack/fresh	pelagic-neritic	NA	NA	dioecism	external	nonguarders
Osteogeneiosus militaris	elongated	43	saltwater/brack/fresh	demersal	NA	NA	dioecism	external	NA
Osteomugil cunnesius	fusiform/normal	41	saltwater/brack/fresh	demersal	0	3	dioecism	external	nonguarders
Osteomugil engeli	fusiform/normal	47.70000076	saltwater/brack	reef-associated	0	3	dioecism	external	nonguarders
Osteomugil robustus	fusiform/normal	30	saltwater/brack/fresh	pelagic-neritic	NA	NA	dioecism	external	nonguarders
Osteomugil speigleri	fusiform/normal	35	saltwater/brack/fresh	demersal	NA	NA	dioecism	external	nonguarders
Ostichthys hypsipterygion	shortand/ordeep	17	saltwater	reef-associated	270	355	dioecism	external	nonguarders
Ostichthys japonicus	shortand/ordeep	45	saltwater	reef-associated	90	240	dioecism	external	nonguarders
Ostichthys kaianus	shortand/ordeep	36	saltwater	bathydemersal	180	640	dioecism	external	nonguarders
Ostorhinchus angustatus	shortand/ordeep	11	saltwater	reef-associated	6	65	dioecism	external	bearers
Ostorhinchus apogonoides	elongated	10	saltwater	reef-associated	3	60	dioecism	external	bearers
Ostorhinchus aureus	shortand/ordeep	14.5	saltwater	reef-associated	1	40	dioecism	external	bearers
Ostorhinchus bryx	elongated	5.190000057	saltwater	reef-associated	14	155	dioecism	external	bearers
Ostorhinchus capricornis	fusiform/normal	5.760000229	saltwater	reef-associated	2	15	dioecism	external	bearers
Ostorhinchus cavitensis	shortand/ordeep	7.5	saltwater/brack	demersal	3	30	dioecism	external	bearers
Ostorhinchus chrysotaenia	fusiform/normal	12	saltwater	reef-associated	0	30	dioecism	external	bearers
Ostorhinchus cladophilos	fusiform/normal	6	saltwater	reef-associated	20	35	NA	NA	NA
Ostorhinchus compressus	fusiform/normal	12	saltwater	reef-associated	2	20	dioecism	external	bearers
Ostorhinchus cookii	shortand/ordeep	10	saltwater	reef-associated	1	10	dioecism	external	bearers
Ostorhinchus cyanosoma	fusiform/normal	8	saltwater	reef-associated	1	50	dioecism	external	bearers
Ostorhinchus diversus	fusiform/normal	NA	saltwater	reef-associated	1	15	dioecism	external	bearers
Ostorhinchus doederleini	shortand/ordeep	14	saltwater	reef-associated	0	10	dioecism	external	bearers
Ostorhinchus endekataenia	elongated	14	saltwater	reef-associated	25	30	dioecism	external	bearers
Ostorhinchus fasciatus	shortand/ordeep	12.60000038	saltwater	reef-associated	2	128	dioecism	external	bearers
Ostorhinchus flagelliferus	fusiform/normal	13	saltwater	reef-associated	NA	NA	dioecism	external	bearers
Ostorhinchus flavus	fusiform/normal	9.590000153	saltwater	reef-associated	10	25	dioecism	external	bearers
Ostorhinchus fleurieu	shortand/ordeep	14.19999981	saltwater/brack	reef-associated	1	97	dioecism	external	bearers
Ostorhinchus fukuii	fusiform/normal	9.340000153	saltwater	reef-associated	35	60	dioecism	external	bearers
Ostorhinchus hartzfeldii	elongated	12	saltwater	reef-associated	1	28	dioecism	external	bearers
Ostorhinchus holotaenia	shortand/ordeep	8	saltwater	reef-associated	15	35	dioecism	external	bearers
Ostorhinchus jenkinsi	shortand/ordeep	8.699999809	saltwater	demersal	8	45	dioecism	external	bearers
Ostorhinchus kiensis	shortand/ordeep	8	saltwater/brack	reef-associated	0	50	dioecism	external	bearers
Ostorhinchus monospilus	shortand/ordeep	7.800000191	saltwater	reef-associated	2	41	dioecism	NA	bearers
Ostorhinchus nanus	elongated	6	saltwater	reef-associated	3	20	dioecism	external	bearers
Ostorhinchus neotes	elongated	2.700000048	saltwater	reef-associated	3	25	dioecism	external	bearers
Ostorhinchus nigrofasciatus	elongated	10	saltwater	reef-associated	3	50	dioecism	external	bearers
Ostorhinchus norfolcensis	shortand/ordeep	15	saltwater	reef-associated	NA	10	dioecism	external	bearers
Ostorhinchus noumeae	Elongated	NA	saltwater	reef-associated	0	2	NA	NA	NA
Ostorhinchus novemfasciatus	shortand/ordeep	10	saltwater	reef-associated	1	4	dioecism	external	bearers
Ostorhinchus pallidofasciatus	fusiform/normal	7	saltwater	reef-associated	3	4	dioecism	external	bearers
Ostorhinchus properuptus	elongated	6	saltwater	reef-associated	1	30	dioecism	external	bearers
Ostorhinchus rubrimacula	elongated	4.46999979	saltwater	reef-associated	0	33	dioecism	external	bearers
Ostorhinchus rueppellii	shortand/ordeep	12	saltwater/brack	reef-associated	0	10	dioecism	external	bearers
Ostorhinchus sealei	elongated	10	saltwater	reef-associated	3	25	dioecism	external	bearers
Ostorhinchus selas	fusiform/normal	4	saltwater	reef-associated	3	72	dioecism	external	bearers
Ostorhinchus semilineatus	shortand/ordeep	12	saltwater/brack	reef-associated	3	100	dioecism	external	bearers
Ostorhinchus septemstriatus	fusiform/normal	5.300000191	saltwater	reef-associated	18	68	dioecism	external	bearers
Ostorhinchus taeniophorus	shortand/ordeep	11.5	saltwater	reef-associated	0	15	dioecism	external	bearers
Ostorhinchus victoriae	fusiform/normal	8	saltwater	reef-associated	2	3	dioecism	external	bearers
Ostorhinchus wassinki	elongated	7	saltwater	reef-associated	0	22	dioecism	external	bearers
Ostracion cubicum	shortand/ordeep	45	saltwater	reef-associated	1	280	dioecism	external	nonguarders
Ostracion cyanurus	fusiform/normal	15	saltwater	reef-associated	NA	NA	dioecism	external	nonguarders
Ostracion immaculatum	shortand/ordeep	25	saltwater	demersal	NA	NA	dioecism	external	nonguarders
Ostracion meleagris	shortand/ordeep	25	saltwater	reef-associated	1	30	dioecism	external	nonguarders
Ostracion solorense	shortand/ordeep	12	saltwater	reef-associated	1	20	dioecism	external	nonguarders
Ostracoberyx dorygenys	shortand/ordeep	23	saltwater	bathydemersal	256	711	NA	NA	NA
Ostracoberyx paxtoni	shortand/ordeep	15.69999981	saltwater	bathydemersal	360	512	NA	NA	NA
Otolithes cuvieri	fusiform/normal	39	saltwater	benthopelagic	NA	NA	dioecism	external	NA
Otolithes ruber	fusiform/normal	90	saltwater/brack	benthopelagic	10	40	dioecism	external	nonguarders
Otolithoides biauritus	elongated	160	saltwater	demersal	NA	NA	dioecism	external	NA
Otolithoides pama	elongated	160	saltwater/brack/fresh	benthopelagic	NA	NA	dioecism	external	NA
Otophidium dormitator	Elongated	7.5	saltwater	reef-associated	0	15	dioecism	external	nonguarders
Otophidium indefatigabile	eel-like	11.69999981	saltwater	demersal	NA	91	dioecism	external	nonguarders
Owstonia elongata	elongated	11.69999981	saltwater	demersal	191	360	NA	NA	NA
Owstonia taeniosoma	elongated	25	saltwater	benthopelagic	62	250	NA	NA	NA
Oxuderces dentatus	elongated	10	brack/fresh	demersal	NA	NA	NA	NA	NA
Oxycheilinus arenatus	fusiform/normal	21	saltwater	reef-associated	25	60	dioecism	external	NA
Oxycheilinus bimaculatus	fusiform/normal	15	saltwater	reef-associated	2	110	dioecism	external	NA
Oxycheilinus celebicus	fusiform/normal	24	saltwater	reef-associated	3	40	dioecism	external	NA
Oxycheilinus digramma	fusiform/normal	40	saltwater/brack	reef-associated	3	60	dioecism	external	NA
Oxycheilinus mentalis	fusiform/normal	20	saltwater	reef-associated	1	20	dioecism	external	NA
Oxycheilinus nigromarginatus	fusiform/normal	11.34000015	saltwater	reef-associated	10	27	dioecism	external	NA
Oxycheilinus orientalis	fusiform/normal	20	saltwater	reef-associated	10	80	dioecism	external	NA
Oxycheilinus unifasciatus	fusiform/normal	46	saltwater	reef-associated	1	160	dioecism	external	NA
Oxycirrhites typus	elongated	13	saltwater	reef-associated	10	100	dioecism	external	nonguarders
Oxyconger leptognathus	eel-like	60	saltwater	demersal	NA	NA	NA	NA	NA
Oxymonacanthus longirostris	shortand/ordeep	12	saltwater	reef-associated	1	35	dioecism	external	guarders
Oxynotus centrina	elongated	150	saltwater	bathydemersal	60	1309	dioecism	internal(oviduct)	bearers
Oxyporhamphus micropterus	elongated	18.5	saltwater	pelagic-oceanic	0	1	dioecism	external	nonguarders
Oxyurichthys auchenolepis	elongated	13	saltwater	demersal	NA	NA	NA	NA	NA
Oxyurichthys keiensis	fusiform/normal	7	saltwater/brack	demersal	NA	NA	dioecism	NA	guarders
Oxyurichthys microlepis	fusiform/normal	15.19999981	saltwater/brack	demersal	NA	75	NA	NA	NA
Oxyurichthys ophthalmonema	fusiform/normal	18	saltwater/brack/fresh	demersal	1	30	NA	NA	NA
Oxyurichthys papuensis	fusiform/normal	22	saltwater/brack	reef-associated	1	50	NA	NA	NA
Oxyurichthys stigmalophius	elongated	16.5	saltwater	reef-associated	2	60	NA	NA	NA
Oxyzygonectes dovii	Elongated	15	brack/fresh	demersal	NA	NA	NA	NA	NA
Pachycara bulbiceps	elongated	51.5	saltwater	bathydemersal	2400	4780	NA	NA	NA
Pachycara cousinsi	eel-like	41	saltwater	bathydemersal	NA	4270	NA	NA	NA
Pachycara priedei	eel-like	23	saltwater	bathydemersal	NA	4275	NA	NA	NA
Pachymetopon aeneum	fusiform/normal	55	saltwater	demersal	20	50	protogyny	external	nonguarders
Pachymetopon blochii	fusiform/normal	46	saltwater	demersal	1	NA	dioecism	external	nonguarders
Pachymetopon grande	shortand/ordeep	65	saltwater	demersal	NA	NA	NA	NA	NA
Pachypterus atherinoides	elongated	15	brack/fresh	demersal	NA	NA	dioecism	external	nonguarders
Pachystomias microdon	elongated	22.10000038	saltwater	bathypelagic	660	4000	NA	NA	NA
Paedovaricus imswe	elongated	1.399999976	saltwater	demersal	15	91	NA	NA	NA
Pagellus acarne	fusiform/normal	36	saltwater	benthopelagic	NA	500	protandry	external	nonguarders
Pagellus affinis	fusiform/normal	37	saltwater	demersal	NA	150	NA	NA	NA
Pagellus bellottii	fusiform/normal	42	saltwater	demersal	100	250	protogyny	external	nonguarders
Pagellus bogaraveo	fusiform/normal	70	saltwater	benthopelagic	150	700	protandry	external	nonguarders
Pagellus erythrinus	fusiform/normal	60	saltwater	benthopelagic	NA	300	protogyny	external	nonguarders
Pagellus natalensis	fusiform/normal	30	saltwater	demersal	NA	150	NA	NA	NA
Pagothenia borchgrevinki	fusiform/normal	28	saltwater	pelagic-oceanic	0	550	dioecism	external	NA
Pagrus auratus	shortand/ordeep	130	saltwater/brack	reef-associated	0	200	dioecism	external	nonguarders
